Time,DSS3_aspartate_1,DSS3_aspartate_2,DSS3_aspartate_3,DSS3_aspartate_4,DSS3_aspartate_5,DSS3_aspartate_6,HF1_aspartate_1,HF1_aspartate_2,HF1_aspartate_3,HF1_aspartate_4,HF1_aspartate_5,HF1_aspartate_6,HF70_aspartate_1,HF70_aspartate_2,HF70_aspartate_3,HF70_aspartate_4,HF70_aspartate_5,HF70_aspartate_6
1.0,-0.002,-0.006,-0.002,-0.004,-0.003,-0.002,-0.006,-0.005,-0.007,-0.003,-0.006,-0.005,-0.008,-0.008,-0.008,-0.008,-0.008,-0.005
2.0,-0.003,-0.006,-0.003,-0.004,-0.003,-0.003,-0.008,-0.007,-0.004,-0.004,-0.008,-0.006,-0.009,-0.009,-0.01,-0.009,-0.009,-0.004
3.0,-0.002,0,0.002,-0.003,0.002,-0.002,-0.008,-0.007,-0.008,-0.004,-0.008,-0.007,-0.009,-0.009,-0.009,-0.008,-0.008,-0.008
4.0,0.001,0.026,0.015,0.007,0.004,0.001,-0.008,-0.007,-0.008,-0.001,-0.008,-0.008,-0.008,-0.007,-0.008,-0.007,-0.006,-0.006
5.0,0.012,0.012,0.038,0.004,0.018,0.008,-0.009,-0.008,-0.009,0.012,-0.009,-0.008,-0.007,-0.007,-0.007,-0.007,-0.006,-0.002
6.0,0.027,0.03,0.026,0.025,0.028,0.026,-0.008,-0.006,-0.007,-0.003,-0.006,-0.005,-0.003,-0.004,-0.004,-0.002,-0.002,0.01
7.0,0.042,0.05,0.041,0.041,0.039,0.042,-0.008,-0.007,-0.008,-0.005,-0.007,0.001,0.001,-0.001,0.001,0.002,0.006,0.014
8.0,0.059,0.066,0.057,0.059,0.056,0.059,-0.008,-0.007,-0.009,-0.003,-0.007,-0.009,0.006,0.009,0.006,0.009,0.016,0.018
9.0,0.082,0.086,0.08,0.082,0.078,0.082,-0.006,-0.005,-0.007,-0.004,-0.006,-0.002,0.016,0.017,0.02,0.019,0.035,0.028
10.0,0.107,0.112,0.104,0.107,0.1,0.106,-0.007,-0.006,-0.008,-0.005,-0.008,-0.002,0.032,0.034,0.04,0.038,0.059,0.045
11.0,0.136,0.142,0.132,0.138,0.129,0.137,-0.006,-0.005,-0.007,-0.004,-0.007,0,0.061,0.064,0.079,0.076,0.092,0.074
12.0,0.166,0.171,0.161,0.167,0.157,0.166,-0.005,-0.005,-0.007,-0.002,-0.007,0.004,0.112,0.114,0.129,0.129,0.149,0.129
13.0,0.191,0.195,0.184,0.194,0.18,0.188,-0.005,-0.003,-0.006,-0.001,-0.002,-0.006,0.175,0.174,0.19,0.194,0.199,0.193
14.0,0.211,0.21,0.202,0.211,0.198,0.204,-0.005,-0.004,-0.006,-0.003,-0.006,-0.006,0.254,0.249,0.277,0.278,0.285,0.274
15.0,0.227,0.224,0.217,0.219,0.213,0.217,-0.004,-0.003,-0.006,-0.003,-0.006,-0.006,0.348,0.341,0.37,0.367,0.377,0.366
16.0,0.244,0.238,0.232,0.234,0.228,0.232,-0.004,-0.002,-0.005,0,-0.005,-0.005,0.422,0.417,0.446,0.441,0.452,0.437
17.0,0.261,0.25,0.249,0.248,0.245,0.246,-0.003,-0.001,-0.003,0.001,-0.003,-0.003,0.482,0.478,0.497,0.491,0.5,0.491
18.0,0.276,0.265,0.261,0.262,0.258,0.259,-0.003,-0.001,-0.004,0.003,-0.004,-0.004,0.481,0.478,0.491,0.485,0.493,0.485
19.0,0.293,0.279,0.278,0.278,0.275,0.277,0,0,0.003,0.006,-0.003,-0.001,0.471,0.468,0.48,0.474,0.481,0.473
20.0,0.312,0.296,0.295,0.294,0.292,0.296,0,0.004,-0.001,0.01,-0.001,0,0.462,0.459,0.47,0.464,0.473,0.462
