Time,C1,C2,C3,C4,C5,C6,C10,C11,C12,B11,B12,F1,F2,F3,G1,G2,G3,G4,G5
0,0.016,0.021,0.02,0.015,0.017,0.014,0.019,0.019,0.019,0,0.005,0.015,0.015,0.016,0.021,0.02,0.019,0.003,0.003
1,0.016,0.022,0.021,0.015,0.018,0.014,0.019,0.019,0.019,0,0.004,0.016,0.016,0.017,0.021,0.02,0.02,0.003,0.003
2,0.017,0.023,0.023,0.015,0.016,0.014,0.019,0.019,0.019,0,0.004,0.017,0.016,0.018,0.022,0.021,0.02,0.003,0.003
3,0.019,0.024,0.025,0.016,0.018,0.015,0.019,0.022,0.019,0,0.004,0.017,0.017,0.02,0.023,0.022,0.021,0.003,0.003
4,0.021,0.026,0.027,0.016,0.02,0.015,0.019,0.021,0.019,0,0.004,0.018,0.018,0.027,0.023,0.022,0.021,0.003,0.002
5,0.022,0.031,0.032,0.017,0.019,0.016,0.019,0.019,0.019,0,0.004,0.019,0.019,0.037,0.024,0.024,0.022,0.003,0.003
6,0.026,0.036,0.038,0.02,0.023,0.017,0.019,0.021,0.021,0,0.004,0.021,0.022,0.054,0.025,0.026,0.023,0.003,0.003
7,0.03,0.043,0.048,0.021,0.022,0.019,0.019,0.019,0.02,0,0.004,0.024,0.024,0.072,0.027,0.028,0.025,0.003,0.002
8,0.035,0.047,0.047,0.025,0.027,0.022,0.019,0.019,0.02,0,0.004,0.03,0.032,0.067,0.03,0.032,0.03,0.003,0.003
9,0.044,0.049,0.052,0.032,0.031,0.027,0.019,0.023,0.02,0,0.004,0.032,0.039,0.074,0.034,0.042,0.036,0.003,0.003
10,0.05,0.055,0.062,0.04,0.04,0.034,0.019,0.021,0.02,0,0.004,0.036,0.043,0.079,0.036,0.045,0.041,0.003,0.003
11,0.059,0.064,0.08,0.053,0.052,0.046,0.019,0.02,0.024,0,0.004,0.042,0.052,0.086,0.04,0.056,0.049,0.003,0.002
12,0.072,0.085,0.096,0.073,0.073,0.067,0.02,0.024,0.024,0,0.004,0.051,0.066,0.098,0.046,0.068,0.061,0.003,0.003
13,0.088,0.105,0.108,0.113,0.118,0.115,0.02,0.02,0.023,0,0.004,0.065,0.087,0.117,0.054,0.079,0.076,0.003,0.002
14,0.101,0.116,0.12,0.178,0.182,0.188,0.02,0.02,0.022,0,0.005,0.099,0.112,0.149,0.066,0.096,0.097,0.003,0.003
15,0.111,0.127,0.131,0.183,0.188,0.194,0.02,0.021,0.021,0,0.004,0.13,0.156,0.197,0.089,0.126,0.129,0.003,0.003
16,0.122,0.138,0.141,0.182,0.188,0.194,0.021,0.022,0.026,0,0.004,0.194,0.222,0.254,0.128,0.163,0.176,0.003,0.002
17,0.132,0.148,0.152,0.181,0.188,0.194,0.021,0.026,0.022,0,0.004,0.241,0.277,0.293,0.205,0.238,0.282,0.003,0.002
18,0.142,0.158,0.162,0.18,0.187,0.193,0.022,0.023,0.026,0,0.004,0.236,0.27,0.288,0.232,0.277,0.281,0.003,0.003
19,0.153,0.168,0.175,0.18,0.187,0.193,0.022,0.026,0.026,0,0.004,0.232,0.264,0.285,0.227,0.268,0.274,0.003,0.002
20,0.164,0.182,0.181,0.18,0.188,0.193,0.023,0.027,0.029,0,0.004,0.228,0.26,0.28,0.222,0.263,0.269,0.003,0.002
21,0.177,0.182,0.177,0.181,0.188,0.194,0.023,0.025,0.024,0,0.004,0.225,0.257,0.278,0.216,0.258,0.264,0.003,0.003
22,0.175,0.177,0.172,0.181,0.189,0.194,0.024,0.027,0.032,0,0.004,0.225,0.256,0.278,0.214,0.254,0.26,0.003,0.003
23,0.171,0.173,0.169,0.182,0.189,0.195,0.025,0.03,0.029,0,0.004,0.225,0.256,0.277,0.213,0.253,0.259,0.003,0.002
24,0.167,0.17,0.168,0.183,0.19,0.196,0.026,0.031,0.026,0,0.004,0.225,0.257,0.278,0.212,0.252,0.26,0.003,0.002
25,0.165,0.168,0.165,0.184,0.191,0.197,0.026,0.033,0.027,0,0.004,0.224,0.257,0.276,0.213,0.252,0.259,0.003,0.002
26,0.162,0.165,0.163,0.185,0.192,0.198,0.028,0.032,0.039,0,0.004,0.223,0.257,0.275,0.212,0.251,0.259,0.003,0.002
27,0.161,0.164,0.162,0.186,0.193,0.199,0.028,0.033,0.036,0,0.004,0.222,0.257,0.273,0.212,0.25,0.258,0.003,0.003
28,0.159,0.162,0.161,0.187,0.194,0.2,0.03,0.033,0.032,0,0.004,0.223,0.258,0.272,0.212,0.249,0.258,0.003,0.002
29,0.157,0.16,0.159,0.188,0.194,0.201,0.031,0.037,0.035,0,0.004,0.222,0.259,0.271,0.212,0.249,0.258,0.003,0.002
30,0.156,0.158,0.157,0.189,0.196,0.202,0.032,0.035,0.042,0,0.004,0.223,0.259,0.27,0.212,0.248,0.257,0.003,0.002
31,0.155,0.157,0.156,0.191,0.197,0.203,0.033,0.038,0.051,0,0.004,0.223,0.26,0.269,0.214,0.248,0.257,0.003,0.003
32,0.153,0.155,0.154,0.192,0.197,0.205,0.035,0.041,0.034,0,0.004,0.224,0.261,0.269,0.214,0.248,0.257,0.003,0.002
33,0.152,0.154,0.153,0.193,0.199,0.206,0.036,0.041,0.044,0,0.004,0.225,0.261,0.269,0.215,0.248,0.257,0.003,0.002
34,0.151,0.152,0.151,0.195,0.2,0.207,0.037,0.043,0.038,0,0.004,0.228,0.262,0.268,0.217,0.249,0.258,0.003,0.002
35,0.149,0.152,0.15,0.196,0.201,0.208,0.038,0.044,0.041,0,0.004,0.228,0.263,0.269,0.218,0.25,0.258,0.003,0.002
36,0.148,0.15,0.149,0.197,0.202,0.21,0.039,0.045,0.044,0,0.004,0.23,0.263,0.269,0.22,0.25,0.259,0.003,0.002
37,0.147,0.149,0.148,0.198,0.203,0.21,0.04,0.046,0.048,0,0.004,0.231,0.264,0.268,0.221,0.251,0.259,0.003,0.002
38,0.145,0.147,0.145,0.199,0.204,0.212,0.041,0.047,0.042,0,0.004,0.233,0.265,0.268,0.223,0.252,0.26,0.003,0.002
39,0.144,0.145,0.143,0.2,0.206,0.213,0.043,0.047,0.039,0,0.004,0.234,0.265,0.268,0.224,0.252,0.26,0.003,0.002
