Condition,Rep,totalReads,trimmedReads,mappedReads,percentMapped,mutantCount(insertionCount),orfs,mutantStrainsPerGene,bpPerInsertion
Inoculum,1,11273142,4360270,3857733,0.8847,49548,4252,11.65,49.75
Inoculum,2,8118575,3620276,3161913,0.8734,52877,4252,12.44,53.09
Inoculum,3,6893616,3030343,2626152,0.8666,55549,4252,13.06,55.77
Inoculum,4,8915564,4357750,3780643,0.8676,59618,4252,14.02,59.86
RpomAlone,1,10970318,812423,683144,0.8409,46549,4252,10.95,46.74
RpomAlone,2,11962253,3513203,2942767,0.8376,50647,4252,11.91,50.85
RpomAlone,3,8166359,2380137,1957370,0.8224,51329,4252,12.07,51.54
RpomAlone,4,8683279,1822029,1544658,0.8478,45396,4252,10.68,45.58
Vibrio,1,12039463,2386758,2094851,0.8777,47374,4252,11.14,47.56
Vibrio,2,12488290,3063769,2681615,0.8753,49295,4252,11.59,49.49
Vibrio,3,11230683,2336137,2035010,0.8711,47213,4252,11.1,47.4
Vibrio,4,15247311,2809497,2458482,0.8751,48850,4252,11.49,49.05
Marivivens,1,12035705,2706510,2340246,0.8647,49335,4252,11.6,49.53
Marivivens,2,14060261,3623641,3133965,0.8649,52420,4252,12.33,52.63
Marivivens,3,9409195,3318129,2788195,0.8403,54893,4252,12.91,55.11
Marivivens,4,14070202,3475382,3047851,0.877,49675,4252,11.68,49.87
CompleteCommunity,1,4762902,810063,742781,0.9169,45144,4252,10.62,45.33
CompleteCommunity,2,8278437,1786446,1640589,0.9184,44020,4252,10.35,44.2
CompleteCommunity,3,6359470,1413777,1264975,0.8947,46895,4252,11.03,47.08
CompleteCommunity,4,14212015,2929608,2582185,0.8814,48619,4252,11.43,48.81
,,,,,,,,,
Average,,10458852,2727807.4,2368256.25,0.869925,49762.3,,11.7025,49.962
